sim_tfidf,overlap_kw,remuneracao_num,tempo_processamento,cand_missing_ratio,cand_text_len,vaga_text_len,same_state,same_region,nivel_academico,nivel_ingles,tipo_contratacao,estado,cidade,recrutador,analista_responsavel,regiao_candidato,regiao_vaga
0.3745401188473625,0.6420316461542878,7610.957614308658,46.56511036394234,0.02709599250348349,796,533,0,1,Pos,Basico,CLT,RS,Curitiba,Recrutador_A,Analista_X,Sudeste,Norte
0.9507143064099162,0.08413996499504883,5042.007683265518,41.67883491701707,0.22197216193294944,557,657,0,0,Tecnico,Fluente,CLT,RS,Brasilia,Recrutador_D,Analista_Z,Nordeste,Sudeste
0.7319939418114051,0.16162871409461377,6363.905942589928,39.40238733461616,0.2310747965880714,590,752,1,1,Graduacao,Intermediario,CLT,RJ,Rio de Janeiro,Recrutador_C,Analista_Z,Nordeste,Sul
0.5986584841970366,0.8985541885270792,4379.466486813088,13.121432871112171,0.6718927435987284,734,431,1,1,Tecnico,Intermediario,CLT,RJ,Sao Paulo,Recrutador_B,Analista_X,Sudeste,Sul
0.15601864044243652,0.6064290596595899,5648.332704976884,9.031716607333093,0.019710537754364155,375,661,0,1,Pos,Nenhum,PJ,SP,Rio de Janeiro,Recrutador_A,Analista_X,Nordeste,Sudeste
0.15599452033620265,0.009197051616629648,4739.713891264631,32.426231336448254,0.10410858198457384,676,494,1,1,Graduacao,Basico,CLT,PR,Rio de Janeiro,Recrutador_D,Analista_Y,Norte,Sul
0.05808361216819946,0.1014715428660321,5193.991929985436,44.68067148899653,0.7999160853731894,633,474,1,0,Mestrado,Intermediario,CLT,SP,Sao Paulo,Recrutador_A,Analista_Z,Nordeste,Sudeste
0.8661761457749352,0.6635017691080558,6190.314050873827,27.1678559716547,0.1785446620543336,698,632,1,1,Ensino Medio,Avancado,CLT,RJ,Belo Horizonte,Recrutador_B,Analista_Z,Nordeste,Sul
0.6011150117432088,0.005061583846218687,3363.558633533055,27.86579640508529,0.6527461078518747,657,597,1,1,Ensino Medio,Intermediario,PJ,SP,Brasilia,Recrutador_B,Analista_X,Sudeste,Sudeste
0.7080725777960455,0.16080805141749865,9184.77455137092,14.159017402033356,0.23818278104672652,1091,263,0,1,Graduacao,Basico,PJ,SP,Sao Paulo,Recrutador_D,Analista_X,Sul,Sul
0.020584494295802447,0.5487337893665861,2987.965237000596,37.166167860021034,0.09944139275934516,472,721,1,0,Graduacao,Fluente,CLT,MG,Curitiba,Recrutador_C,Analista_Y,Sudeste,Sudeste
0.9699098521619943,0.6918951976926933,2571.6227744245357,9.791056182203599,0.24317219099945409,493,707,1,0,Tecnico,Nenhum,CLT,SP,Salvador,Recrutador_D,Analista_Y,Sudeste,Sul
0.8324426408004217,0.6519612595026005,7316.221747000136,16.212924110999452,0.7222669318556592,475,406,1,1,Mestrado,Basico,CLT,PR,Salvador,Recrutador_B,Analista_X,Norte,Sudeste
0.21233911067827616,0.22426930946055978,6583.325387925872,20.995512614971588,0.8556964681062857,488,559,1,1,Tecnico,Nenhum,CLT,SP,Brasilia,Recrutador_C,Analista_Z,Sudeste,Sudeste
0.18182496720710062,0.7121792213475359,6248.23963410431,24.857687798169387,0.8302198645669916,472,574,1,1,Graduacao,Intermediario,PJ,SP,Rio de Janeiro,Recrutador_C,Analista_Y,Centro-Oeste,Sudeste
0.18340450985343382,0.23724908749680007,6256.69101852856,12.393257423508771,0.3971835296184548,837,539,1,0,Pos,Fluente,PJ,RJ,Brasilia,Recrutador_D,Analista_Z,Nordeste,Sudeste
0.3042422429595377,0.3253996981592677,4975.506454306171,6.397330762742566,0.6680851365706462,884,417,1,1,Graduacao,Basico,CLT,SP,Curitiba,Recrutador_D,Analista_Z,Nordeste,Nordeste
0.5247564316322378,0.7464914051180241,3205.491257028337,29.699141994756733,0.20498429541582097,485,399,0,1,Pos,Avancado,CLT,SP,Sao Paulo,Recrutador_A,Analista_Y,Norte,Sudeste
0.43194501864211576,0.6496328990472147,5151.609116387453,14.56563600229202,0.29314773026101326,433,496,1,1,Ensino Medio,Basico,Cooperado,PR,Rio de Janeiro,Recrutador_C,Analista_Y,Sudeste,Nordeste
0.2912291401980419,0.8492234104941779,3645.6765769757767,28.31819640686278,0.8963358185211198,694,675,1,1,Graduacao,Fluente,CLT,SP,Curitiba,Recrutador_A,Analista_Y,Sudeste,Norte
0.6118528947223795,0.6576128923003434,6950.239466835503,8.25504761788751,0.013001923510736035,489,581,0,1,Ensino Medio,Avancado,PJ,RS,Sao Paulo,Recrutador_C,Analista_X,Sudeste,Sul
0.13949386065204183,0.5683086033354716,4705.885236995723,23.61358478717642,0.08550853085446808,726,444,0,0,Ensino Medio,Avancado,CLT,SP,Belo Horizonte,Recrutador_B,Analista_Y,Sudeste,Sudeste
0.29214464853521815,0.09367476782809248,3349.0056064149767,26.031703329924536,0.20788625514602732,640,615,1,1,Mestrado,Nenhum,CLT,SP,Belo Horizonte,Recrutador_B,Analista_X,Sudeste,Sudeste
0.3663618432936917,0.3677158030594335,4357.228316694013,3.4357062306540644,0.026532203873819715,296,72,1,1,Tecnico,Fluente,CLT,PR,Sao Paulo,Recrutador_B,Analista_Y,Sudeste,Centro-Oeste
0.45606998421703593,0.26520236768172545,5825.862908551248,16.82040107511427,0.18143543508979731,909,672,1,1,Graduacao,Intermediario,CLT,SP,Rio de Janeiro,Recrutador_C,Analista_X,Centro-Oeste,Sudeste
0.7851759613930136,0.24398964337908358,3872.5508943920504,7.31748981613179,0.5830415609696922,959,239,0,0,Graduacao,Basico,Cooperado,SP,Curitiba,Recrutador_B,Analista_X,Sul,Sudeste
0.19967378215835974,0.9730105547524456,3355.5592088671374,3.978623612220084,0.42142455059249795,477,445,0,1,Graduacao,Avancado,CLT,SP,Rio de Janeiro,Recrutador_C,Analista_X,Sudeste,Sul
0.5142344384136116,0.3930977246667604,5487.374422983825,47.52813092232743,0.8926717110769748,522,332,0,0,Pos,Basico,CLT,SP,Sao Paulo,Recrutador_B,Analista_X,Sul,Nordeste
