,cand_cidade,cand_uf,cand_regiao,vaga_uf,vaga_cidade_unif,vaga_regiao,same_state,same_city,same_region,meets_academic,meets_english,meets_spanish,sim_tfidf,overlap_kw,jaccard_kw,cand_remuneracao_num,vaga_is_CLT,vaga_is_PJ,vaga_is_Estagiario,vaga_is_Cotas,cand_is_Junior,cand_is_Pleno,cand_is_Senior,vaga_is_Junior,vaga_is_Pleno,vaga_is_Senior,label_contratado
2,São Paulo,SP,Sudeste,SP,São Paulo,Sudeste,True,True,True,False,True,True,0.1759457106230237,13.0,0.0229276895943562,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.1537050160841894,11.0,0.0329341317365269,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.3836481832091086,15.0,0.0371287128712871,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.2876397088585298,4.0,0.0444444444444444,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.3972723965759475,7.0,0.0424242424242424,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.3841694040717696,11.0,0.0361842105263157,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.3974188404732584,13.0,0.0218487394957983,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.0349279519285852,7.0,0.0265151515151515,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,Salvador,BA,Nordeste,SP,São Paulo,Sudeste,False,False,False,False,False,True,0.4042866195807361,10.0,0.0490196078431372,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.3640220597062595,8.0,0.0444444444444444,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.4420823346065211,10.0,0.0193798449612403,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.3517324027581683,9.0,0.0236220472440944,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
14,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.1011229994219249,1.0,0.0357142857142857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.381196315958699,12.0,0.0323450134770889,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16,,,,SP,São Paulo,Sudeste,False,False,False,False,False,False,0.5574702601381538,11.0,0.0278481012658227,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17,Belo Horizonte,MG,Sudeste,SP,São Paulo,Sudeste,False,False,True,False,False,True,0.5233862688324958,13.0,0.043046357615894,8000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
